45 90 180 Eng;           29.720726 ; -95.399935
Abercrombie Relief;      29.720565 ; -95.399387
Duncan Hall;             29.720309 ; -95.398612
George R Brown School;   29.719937 ; -95.399274
Michael Heiz 180;        29.720260 ; -95.399810
Michael Heiz 45;         29.720500 ; -95.399986
Michael Heiz 90;         29.720542 ; -95.399703
The Bent Tau;            29.720831 ; -95.399599
Batter and Pitcher;      29.714547 ; -95.404573
John and Anne Grove;     29.716281 ; -95.399848
Rice Gate;               29.714336 ; -95.398839
Rice Owl;                29.715010 ; -95.408712
Rice South Plant;        29.714067 ; -95.399533
Rice Stadium;            29.716181 ; -95.407931
Rice Univ Post;          29.713853 ; -95.407226
The Hanszen Guardian;    29.715865 ; -95.400263
Berlin Wall;             29.716463 ; -95.402161
Bull and Bear;           29.717214 ; -95.402954
Color Changing Fount;    29.717002 ; -95.402889
James Skyspace;          29.716426 ; -95.404416
Ley Student Center;      29.717737 ; -95.402664
McNair Hall Fount;       29.717446 ; -95.403276
Parque Tezontle;         29.716719 ; -95.401870
W Edwin Plaza;           29.718114 ; -95.403280
Brown College;           29.721310 ; -95.396311
First Christian Church;  29.722229 ; -95.399796
Metallic Sculpture;      29.720205 ; -95.396339
Oak of Life;             29.722871 ; -95.401005
Rice Univ Entrance;      29.720714 ; -95.394243
Rice. TMC Chapel;        29.721627 ; -95.401388
Temple Emanu El;         29.723090 ; -95.398280
The Sisters;             29.721481 ; -95.396537
Autry House;             29.716095 ; -95.396982
Baker College;           29.717118 ; -95.398851
Cohen Sundial;           29.718166 ; -95.397222
Embrace;                 29.715702 ; -95.397290
Evon Levi Live Oak;      29.717747 ; -95.398308
Lovett Gears;            29.716279 ; -95.397863
Palmer Memorial;         29.716668 ; -95.396627
Zipcar;                  29.715848 ; -95.397779
Brockman Hall Fount;     29.719820 ; -95.401485
Edgar Lovett;            29.719484 ; -95.399880
Founts at Brochstein;    29.717926 ; -95.400486
J Sayles Court;          29.718954 ; -95.402464
Milus Garden;            29.718219 ; -95.401031
Mirror;                  29.717340 ; -95.401078
Rice Centennial Tree;    29.717761 ; -95.401178
Rice Univ Physics Quad;  29.719449 ; -95.401455
Seeley G. Mudd CS Lab;   29.720459 ; -95.401071
Fondren Library;         29.718261 ; -95.399711
Po-um;                   29.719364 ; -95.398828
Rice Univ (Archway);     29.719011 ; -95.397881
Rice Univ Art Gallery;   29.718384 ; -95.397644
Statue of Willy Rice;    29.718600 ; -95.398929
